start_pos,pnl,pnl_diff,pnl_diff_rev,pnl_norm,pnl_pred
-20,61.244,-11.066000000000003,-10.5685,-10.817250000000001,-10.660098076625589
-19,63.987,-8.323,-9.639000000000003,-8.981000000000002,-9.439600229464244
-18,65.5595,-6.750500000000002,-10.14,-8.445250000000001,-8.279008829514222
-17,66.9375,-5.372500000000002,-9.188000000000002,-7.280250000000002,-7.1787475377191745
-16,66.8545,-5.455500000000001,-7.569500000000005,-6.512500000000003,-6.139217114431198
-15,67.4805,-4.829499999999996,-5.233000000000004,-5.03125,-5.160795419410846
-14,68.71,-3.6000000000000085,-5.532499999999999,-4.566250000000004,-4.2438374118271165
-13,68.766,-3.543999999999997,-2.3915000000000077,-2.9677500000000023,-3.388675150257469
-12,70.818,-1.4920000000000044,-3.6835000000000093,-2.587750000000007,-2.595617792687804
-11,70.843,-1.4669999999999987,0.1389999999999958,-0.6640000000000015,-1.8649515965124805
-10,71.689,-0.6210000000000093,-0.33450000000000557,-0.47775000000000745,-1.1969399185343053
-9,69.4755,-2.8345000000000056,-2.514499999999998,-2.674500000000002,-0.5918232149645395
-8,73.2075,0.8974999999999937,-1.3629999999999995,-0.2327500000000029,-0.049819041422892285
-7,72.852,0.5420000000000016,-1.4510000000000076,-0.454500000000003,0.42887794706247306
-6,74.359,2.0489999999999924,1.6479999999999961,1.8484999999999943,0.8440959960549423
-5,72.894,0.5840000000000032,0.35249999999999204,0.4682499999999976,1.19568625170945
-4,74.1725,1.8624999999999972,2.727000000000004,2.2947500000000005,1.4835227607724795
-3,74.176,1.8659999999999997,4.400999999999996,3.133499999999998,1.707502470582062
-2,74.416,2.1059999999999945,2.0904999999999916,2.098249999999993,1.8675452290677783
-1,73.427,1.1170000000000044,1.9809999999999945,1.5489999999999995,1.9635937847507565
0,72.31,0.0,0.0,0.0,1.995613786743674
1,74.291,1.9809999999999945,1.1170000000000044,1.5489999999999995,1.9635937847507565
2,74.4005,2.0904999999999916,2.1059999999999945,2.098249999999993,1.8675452290677783
3,76.711,4.400999999999996,1.8659999999999997,3.133499999999998,1.7075024705820623
4,75.037,2.727000000000004,1.8624999999999972,2.2947500000000005,1.4835227607724795
5,72.6625,0.35249999999999204,0.5840000000000032,0.4682499999999976,1.1956862517094502
6,73.958,1.6479999999999961,2.0489999999999924,1.8484999999999943,0.8440959960549423
7,70.859,-1.4510000000000076,0.5420000000000016,-0.454500000000003,0.42887794706247306
8,70.947,-1.3629999999999995,0.8974999999999937,-0.2327500000000029,-0.049819041422892285
9,69.7955,-2.514499999999998,-2.8345000000000056,-2.674500000000002,-0.5918232149645395
10,71.9755,-0.33450000000000557,-0.6210000000000093,-0.47775000000000745,-1.1969399185343066
11,72.449,0.1389999999999958,-1.4669999999999987,-0.6640000000000015,-1.8649515965124819
12,68.6265,-3.6835000000000093,-1.4920000000000044,-2.587750000000007,-2.595617792687805
13,69.9185,-2.3915000000000077,-3.543999999999997,-2.9677500000000023,-3.3886751502574697
14,66.7775,-5.532499999999999,-3.6000000000000085,-4.566250000000004,-4.243837411827118
15,67.077,-5.233000000000004,-4.829499999999996,-5.03125,-5.160795419410848
16,64.7405,-7.569500000000005,-5.455500000000001,-6.512500000000003,-6.1392171144312
17,63.122,-9.188000000000002,-5.372500000000002,-7.280250000000002,-7.1787475377191745
18,62.17,-10.14,-6.750500000000002,-8.445250000000001,-8.279008829514225
19,62.671,-9.639000000000003,-8.323,-8.981000000000002,-9.439600229464247
20,61.7415,-10.5685,-11.066000000000003,-10.817250000000001,-10.660098076625593
